generation,best_accuracy,best_fitness,best_params,best_genome
0,0.30000001192092896,0.26301901192092897,36981,"{""dense"": 64, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
1,0.44999998807907104,0.378794988079071,71205,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
2,0.44999998807907104,0.356314988079071,93685,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}]}"
3,0.25,0.15393099999999998,96069,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
4,0.44999998807907104,0.35393098807907103,96069,"{""dense"": 64, ""dropout"": 0.4, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}, {""filters"": 16, ""kernel"": 3, ""pool"": 2}, {""filters"": 16, ""kernel"": 3, ""pool"": 1}]}"
0,0.8141199946403503,0.48131799464035036,332802,"{""network_type"": ""llama"", ""embed_dim"": 32, ""dropout"": 0.2, ""blocks"": [{""num_heads"": 2, ""ff_dim"": 64}]}"
0,0.7444345355033875,0.02650053550338749,717934,"{""network_type"": ""bert"", ""embed_dim"": 64, ""dropout"": 0.1, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 64}]}"
0,0.9904000163078308,0.9027260163078308,87674,"{""network_type"": ""cnn"", ""dense"": 32, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 1}, {""filters"": 16, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 5, ""pool"": 2}]}"
0,0.9850999712944031,0.8322419712944031,152858,"{""network_type"": ""cnn"", ""dense"": 128, ""dropout"": 0.0, ""stages"": [{""filters"": 64, ""kernel"": 3, ""pool"": 2}, {""filters"": 48, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 5, ""pool"": 2}, {""filters"": 32, ""kernel"": 3, ""pool"": 2}, {""filters"": 64, ""kernel"": 3, ""pool"": 2}]}"
0,0.8111199736595154,-0.0036660263404846294,814786,"{""network_type"": ""llm"", ""embed_dim"": 64, ""dropout"": 0.0, ""blocks"": [{""num_heads"": 4, ""ff_dim"": 64}, {""num_heads"": 4, ""ff_dim"": 256}]}"
